,Mes,Cantidad_Juegos,Score_Max,Score_Min,Score_Prom,Score_Mediana,Score_Mad,Score_Jugadores_Max,Score_Jugadores_Min,Score_Jugadores_Prom,Score_Jugadores_Mediana,Score_Jugadores_Mad,Criticos_Sum,Criticos_Prom,Criticos_Mediana,Usuarios_Sum,Usuarios_Prom,Usuarios_Mediana
0,1,858,96,24,69.21678321678321,71.0,9.858770600029342,97.0,0.0,62.71212121212121,70.5,17.48212898212898,20047,23.364801864801866,17.0,147007,171.33682983682985,28.0
1,2,1306,94,27,70.791730474732,73.0,9.276408330968625,91.0,0.0,64.80245022970904,72.0,15.34065650584298,33088,25.335375191424195,20.0,183662,140.62940275650843,31.0
2,3,1785,97,20,70.46890756302521,72.0,9.697968599204389,92.0,0.0,65.14341736694678,72.0,15.604221296361683,43721,24.493557422969186,19.0,342948,192.127731092437,30.0
3,4,1147,98,17,70.39058413251962,72.0,9.598564619123158,97.0,0.0,65.36878814298169,71.0,14.281816253917388,26448,23.05841325196164,17.0,192056,167.44202266782912,30.0
4,5,1328,97,17,69.82454819277109,72.0,9.612755615836841,97.0,0.0,64.17394578313252,71.0,15.596604414646542,29919,22.529367469879517,17.0,241926,182.17319277108433,29.0
5,6,1458,95,16,68.84842249657065,71.0,9.834049311212345,98.0,0.0,65.12071330589849,72.0,15.386564077668076,33902,23.252400548696844,17.0,316453,217.04595336076818,27.0
6,7,1064,95,18,69.27255639097744,71.0,10.062560065577477,96.0,0.0,63.17575187969925,70.0,16.150554369947425,21868,20.55263157894737,15.0,131442,123.53571428571429,23.0
7,8,1394,96,32,71.7338593974175,74.0,9.256504099347685,96.0,0.0,65.10545193687231,72.0,15.501972997618402,31580,22.654232424677186,17.0,187002,134.1477761836442,31.0
8,9,1983,98,21,72.09732728189611,73.0,9.255254636675991,97.0,0.0,66.02269288956127,73.0,15.61295977991445,46331,23.36409480584972,18.0,295699,149.1169944528492,28.0
9,10,2408,97,17,71.09260797342192,73.0,9.638718115694088,97.0,0.0,66.30897009966777,73.0,14.809927594618163,55655,23.112541528239202,17.0,431690,179.27325581395348,28.0
10,11,2308,99,22,69.48396880415945,71.0,10.627861345812471,97.0,0.0,63.94280762564991,72.0,17.55961180912447,54897,23.785528596187174,18.0,536239,232.3392547660312,27.0
11,12,905,96,11,69.95690607734807,72.0,10.074593571624797,92.0,0.0,64.2475138121547,72.0,16.87681572601569,17944,19.827624309392267,15.0,94563,104.48950276243094,24.0
